t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
49.0,6760576.124522291,233326.2120887014,294384.4148563267,-425.3548941314814,4756.869043236982,6001.675068162241,6771003.828120231,-29392872.1399982
50.0,6760146.433733214,238082.93148819127,300385.9011210685,-434.0264081389568,4756.566705031852,6001.29361228204,6771003.985922192,-29392872.13999777
51.0,6759708.071706014,242839.3454987651,306387.0020808908,-442.69736480848786,4756.258265601382,6000.904458571256,6771004.146908627,-29392872.13999732
52.0,6759261.039003598,247595.44801939404,312387.710038211,-451.3677530056875,4755.943725342514,6000.507607530703,6771004.311079327,-29392872.139996856
53.0,6758805.3362000035,252351.23294945012,318388.0172959522,-460.0375615969037,4755.623084660039,6000.103059671102,6771004.478434082,-29392872.13999639
54.0,6758340.963880404,257106.69418871411,324387.9161575532,-468.7067794492333,4755.296343966601,5999.690815513077,6771004.648972676,-29392872.13999592
55.0,6757867.922641105,261861.82563738333,330387.39892697835,-477.37539543053697,4754.963503682692,5999.270875587159,6771004.822694891,-29392872.139995433
56.0,6757386.213089543,266616.6211960795,336386.4579087275,-486.04339840945323,4754.624564236655,5998.843240433782,6771004.999600505,-29392872.139994927
57.0,6756895.835844287,271371.0747658566,342385.0854078459,-494.710777255413,4754.27952606468,5998.407910603281,6771005.179689288,-29392872.139994428
58.0,6756396.791535033,276125.18024820887,348383.27372993407,-503.3775208386539,4753.928389610808,5997.964886655897,6771005.362961012,-29392872.13999391
59.0,6755889.080802609,280878.93154507823,354381.01518115774,-512.0436180302346,4753.571155326927,5997.514169161769,6771005.5494154375,-29392872.1399934
60.0,6755372.704298972,285632.3225588627,360378.30206825765,-520.7090577020494,4753.207823672771,5997.05575870094,6771005.739052329,-29392872.13999287
61.0,6754847.662687206,290385.34719242377,366375.1266985596,-529.3738287268425,4752.838395115924,5996.589655863349,6771005.931871441,-29392872.139992338
62.0,6754313.956641519,295137.9993490945,372371.48137998435,-538.0379199782222,4752.462870131812,5996.11586124884,6771006.1278725285,-29392872.13999178
63.0,6753771.586847249,299890.2729326874,378367.35842105735,-546.7013203306757,4752.081249203711,5995.634375467151,6771006.327055335,-29392872.13999123
64.0,6753220.554000858,304642.161847502,384362.7501309187,-555.3640186595829,4751.693532822738,5995.145199137919,6771006.529419608,-29392872.139990665
65.0,6752660.85880993,309393.6599983329,390357.6488193332,-564.0260038412314,4751.299721487856,5994.648332890679,6771006.734965089,-29392872.139990084
66.0,6752092.501993176,314144.7612904777,396352.04679670004,-572.6872647528304,4750.89981570587,5994.143777364861,6771006.94369151,-29392872.13998951
67.0,6751515.484280425,318895.4596297447,402345.9363740629,-581.3477902725255,4750.493815991431,5993.631533209791,6771007.155598607,-29392872.1399889
68.0,6750929.806412631,323645.74892246065,408339.3098631197,-590.0075692794126,4750.0817228670285,5993.111601084689,6771007.370686104,-29392872.139988318
69.0,6750335.469141866,328395.6230754788,414332.15957623237,-598.6665906535526,4749.663536862997,5992.583981658668,6771007.588953728,-29392872.139987707
70.0,6749732.473231324,333145.0759961867,420324.4778264371,-607.3248432759856,4749.239258517509,5992.048675610735,6771007.8104011975,-29392872.13998708
71.0,6749120.819455314,337894.10159251385,426316.2569274539,-615.9823160287456,4748.80888837658,5991.505683629788,6771008.035028228,-29392872.139986455
72.0,6748500.508599266,342642.69377293985,432307.4891936967,-624.6389977948743,4748.372426994064,5990.955006414616,6771008.262834531,-29392872.139985815
73.0,6747871.541459724,347390.846446502,438298.16694028315,-633.2948774584361,4747.929874931651,5990.396644673899,6771008.493819814,-29392872.139985178
74.0,6747233.91884435,352138.5535228032,444288.2824830445,-641.9499439045319,4747.4812327588725,5989.830599126204,6771008.727983781,-29392872.139984522
75.0,6746587.641571916,356885.8089120197,450277.82813853555,-650.6041860193138,4747.026501053096,5989.2568704999885,6771008.965326131,-29392872.13998387
76.0,6745932.710472312,361632.6065249093,456266.79622404446,-659.2575926899996,4746.565680399524,5988.675459533596,6771009.20584656,-29392872.13998319
77.0,6745269.126386536,366378.9402728188,462255.1790576027,-667.9101528048866,4746.098771391199,5988.086366975256,6771009.449544758,-29392872.139982507
