t_s,x_m,y_m,vx_mps,vy_mps,r_m,E_spec
68.0,6750929.806412631,521044.6840483734,-590.0075692794126,7647.265069093088,6771007.370686104,-29392872.139988303
69.0,6750335.469141866,528691.6149460253,-598.6665906535526,7646.591821892809,6771007.588953728,-29392872.139987692
70.0,6749732.473231324,536337.8676921589,-607.3248432759856,7645.9087664928575,6771007.8104011975,-29392872.139987066
71.0,6749120.819455314,543983.432479011,-615.9823160287456,7645.215903772273,6771008.035028228,-29392872.13998644
72.0,6748500.508599266,551628.2994997035,-624.6389977948743,7644.513234622717,6771008.262834531,-29392872.139985796
73.0,6747871.541459724,559272.4589482563,-633.2948774584361,7643.800759948471,6771008.493819814,-29392872.139985163
74.0,6747233.91884435,566915.9010196003,-641.9499439045319,7643.078480666433,6771008.727983781,-29392872.139984507
75.0,6746587.641571916,574558.6159095891,-650.6041860193138,7642.346397706123,6771008.965326131,-29392872.139983844
76.0,6745932.710472312,582200.5938150125,-659.2575926899996,7641.604512009671,6771009.20584656,-29392872.139983166
77.0,6745269.126386536,589841.8249336084,-667.9101528048866,7640.852824531828,6771009.449544757,-29392872.139982488
78.0,6744596.890166702,597482.2994640762,-676.5618552533666,7640.091336239955,6771009.696420411,-29392872.1399818
79.0,6743916.002676029,605122.0076060884,-685.2126889259399,7639.320048114026,6771009.946473204,-29392872.139981102
80.0,6743226.464788849,612760.9395603043,-693.8626427142297,7638.538961146626,6771010.199702815,-29392872.139980398
81.0,6742528.277390601,620399.0855283816,-702.5117055109964,7637.748076342952,6771010.456108919,-29392872.13997968
82.0,6741821.441377828,628036.4357129901,-711.1598662101522,7636.947394720807,6771010.715691187,-29392872.13997895
83.0,6741105.957658181,635672.9803178234,-719.8071137067753,7636.136917310602,6771010.978449287,-29392872.13997821
84.0,6740381.827150415,643308.7095476115,-728.4534368971242,7635.316645155354,6771011.244382879,-29392872.139977474
85.0,6739649.050784387,650943.6136081341,-737.0988246786521,7634.486579310686,6771011.513491621,-29392872.139976725
86.0,6738907.629501057,658577.6827062329,-745.7432659500213,7633.64672084482,6771011.785775171,-29392872.13997597
87.0,6738157.564252486,666210.9070498238,-754.3867496111172,7632.797070838586,6771012.061233177,-29392872.139975198
88.0,6737398.856001834,673843.2768479101,-763.0292645630635,7631.937630385408,6771012.339865285,-29392872.139974423
89.0,6736631.50572336,681474.7823105947,-771.6707997082356,7631.068400591314,6771012.621671138,-29392872.13997364
90.0,6735855.514402418,689105.4136490927,-780.3113439502754,7630.189382574926,6771012.906650375,-29392872.139972836
91.0,6735070.88303546,696735.1610757444,-788.9508861941056,7629.300577467463,6771013.194802628,-29392872.13997204
92.0,6734277.61263003,704364.0148040275,-797.5894153459441,7628.4019864127395,6771013.486127528,-29392872.13997123
93.0,6733475.704204768,711991.9650485698,-806.226920313318,7627.493610567162,6771013.780624703,-29392872.1399704
94.0,6732665.158789404,719619.0020251619,-814.8633900050786,7626.57545109973,6771014.078293771,-29392872.139969576
95.0,6731845.977424758,727245.1159507694,-823.4988133314149,7625.647509192032,6771014.379134351,-29392872.13996873
96.0,6731018.161162741,734870.297043546,-832.1331792038687,7624.709786038244,6771014.683146058,-29392872.13996789
97.0,6730181.71106635,742494.5355228459,-840.7664765353484,7623.762282845129,6771014.990328501,-29392872.13996703
98.0,6729336.62820967,750117.8216092363,-849.3986942401434,7622.805000832039,6771015.300681286,-29392872.139966164
99.0,6728482.913677869,757740.1455245101,-858.0298212339388,7621.837941230905,6771015.614204013,-29392872.139965292
100.0,6727620.5685672015,765361.4974916981,-866.6598464338294,7620.8611052862425,6771015.930896279,-29392872.13996442
101.0,6726749.593985002,772981.8677350825,-875.288758758334,7619.8744942551475,6771016.250757681,-29392872.13996352
102.0,6725869.991049685,780601.2464802085,-883.9165471274098,7618.878109407295,6771016.573787805,-29392872.139962625
103.0,6724981.7608907465,788219.6239538972,-892.5432004624669,7617.871952024936,6771016.899986236,-29392872.139961727
104.0,6724084.90464876,795836.9903842584,-901.1687076863822,7616.856023402899,6771017.229352559,-29392872.1399608
105.0,6723179.4234753745,803453.336000703,-909.7930577235142,7615.830324848585,6771017.561886347,-29392872.139959864
106.0,6722265.318533313,811068.6510339555,-918.4162394997169,7614.794857681968,6771017.897587174,-29392872.139958933
107.0,6721342.590996374,818682.9257160668,-927.0382419423545,7613.749623235591,6771018.236454608,-29392872.139957998
108.0,6720411.242049428,826296.1502804266,-935.6590539803153,7612.694622854567,6771018.578488216,-29392872.139957048
109.0,6719471.272888414,833908.3149617759,-944.2786645440264,7611.629857896575,6771018.92368756,-29392872.139956065
110.0,6718522.684720339,841519.4099962198,-952.8970625654675,7610.555329731861,6771019.272052191,-29392872.139955107
111.0,6717565.478763282,849129.4256212397,-961.5142369781859,7609.471039743234,6771019.623581667,-29392872.139954124
112.0,6716599.656246383,856738.3520757064,-970.1301767173101,7608.376989326061,6771019.978275535,-29392872.13995314
113.0,6715625.2184098475,864346.1795998919,-978.7448707195646,7607.273179888275,6771020.336133339,-29392872.13995214
114.0,6714642.166504944,871952.8984354829,-987.3583079232839,7606.159612850362,6771020.697154621,-29392872.139951132
115.0,6713650.501794001,879558.4988255927,-995.970477268427,7605.036289645365,6771021.0613389155,-29392872.13995011
116.0,6712650.225550408,887162.9710147737,-1004.5813676965917,7603.9032117188835,6771021.4286857555,-29392872.139949095
117.0,6711641.339058608,894766.3052490305,-1013.1909681510285,7602.760380529067,6771021.799194669,-29392872.139948055
118.0,6710623.843614105,902368.4917758319,-1021.7992675766554,7601.607797546617,6771022.172865182,-29392872.139947012
119.0,6709597.740523455,909969.5208441238,-1030.4062549200721,7600.445464254782,6771022.549696812,-29392872.13994596
120.0,6708563.031104265,917569.3827043416,-1039.0119191295737,7599.2733821493575,6771022.929689079,-29392872.139944896
121.0,6707519.716685195,925168.0676084226,-1047.6162491551659,7598.091552738685,6771023.312841491,-29392872.13994382
122.0,6706467.798605954,932765.5658098189,-1056.2192339485784,7596.899977543648,6771023.699153556,-29392872.139942758
123.0,6705407.278217298,940361.8675635098,-1064.8208624632803,7595.698658097669,6771024.088624781,-29392872.139941663
124.0,6704338.156881027,947956.9631260142,-1073.4211236544927,7594.487595946712,6771024.481254663,-29392872.13994058
125.0,6703260.435969988,955550.8427554033,-1082.0200064792048,7593.266792649275,6771024.877042701,-29392872.139939476
126.0,6702174.116868068,963143.4967113128,-1090.6174998961867,7592.036249776394,6771025.275988384,-29392872.139938354
127.0,6701079.200970195,970734.915254956,-1099.2135928660045,7590.795968911633,6771025.6780912,-29392872.139937244
128.0,6699975.689682336,978325.088649136,-1107.8082743510345,7589.545951651091,6771026.083350634,-29392872.139936116
129.0,6698863.584421493,985914.0071582581,-1116.401533315477,7588.286199603393,6771026.491766166,-29392872.13993498
130.0,6697742.886615705,993501.6610483427,-1124.9933587253713,7587.016714389691,6771026.903337269,-29392872.139933832
131.0,6696613.597704042,1001088.0405870375,-1133.583739548609,7585.73749764366,6771027.3180634165,-29392872.13993268
132.0,6695475.719136607,1008673.1360436301,-1142.1726647549492,7584.448551011501,6771027.735944076,-29392872.13993151
133.0,6694329.252374532,1016256.9376890606,-1150.7601233160321,7583.149876151931,6771028.156978711,-29392872.139930334
134.0,6693174.1988899745,1023839.4357959339,-1159.3461042053937,7581.841474736185,6771028.581166778,-29392872.13992916
135.0,6692010.5601661205,1031420.6206385329,-1167.9305963984796,7580.523348448015,6771029.008507736,-29392872.13992797
